john_doe,Password123!
jane_smith,SecurePass456@
michael_brown,MyPass789#
emily_jones,Emily2021!
skylar_hughes,SkylarSecure333$
dominic_ward,DominicPass444%
lucy_howard,LucyPass555&
aiden_mitchell,Aiden2032!
nora_bailey,NoraPass666@
jackson_king,JacksonSecure777#
scarlett_wright,ScarlettPass888!
liam_hall,LiamSecure999@
sophia_allen,SophiaPass000#
logan_martin,LoganPass111@
zoey_clark,ZoeySecure222!
carter_hernandez,CarterPass333$
avery_lopez,AverySecure444%
mason_harris,MasonPass555&
ella_moore,Ella2033!
abu_ahmed,password123
